Query,Expected,Groq Expected,Groq Reason,Predicted,Predicted_Qwen
My employer refuses to give me a proper bed; I sleep on a thin mat on the floor. Is this legal?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the legality of the employer's action, indicating a potential labor dispute or contract issue.",,ERROR: Empty route returned
"What is the ""14-day rule"" for stay-in domestic helpers whose contracts are terminated?",General-LLM,General-LLM,"The query is asking for a definition or explanation of a specific rule related to labor law, which is a general legal information request.",,General-LLM
"Can I sue my employer if they hit me, even if it was ""just once""?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about potential legal action to take in response to an incident of physical harm at work, indicating a need for reasoning and analysis of a specific scenario.",,Reasoning-LLM
"How do I apply for an ""Extension of Stay"" if my passport is being renewed at the Consulate?",General-LLM,Reasoning-LLM,"The query involves a specific situation of renewing a passport at the Consulate and asks for instructions on how to apply for an ""Extension of Stay"", indicating a need for guidance on a particular scenario.",,General-LLM
I lost my wallet with my ATM card and my HKID. What should I report to the police first?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and requires guidance on the necessary actions to take, specifically what to report to the police first.",,Reasoning-LLM
"What is the ""E-visa"" and do I still need a physical sticker on my passport?",General-LLM,General-LLM,"The query asks for general information about the ""E-visa"" and its requirements, without referencing a personal situation or specific legal issue.",,General-LLM
My boss is moving to a smaller flat and says I have to share a room with the kids. Can I complain?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and potential dispute with an employer, which requires analysis of labor laws and possible actions to take.",,Reasoning-LLM
"How many ""Statutory Holidays"" are there in total for the year 2026?",General-LLM,General-LLM,"The query asks for general information about the total number of statutory holidays in a year, which is a straightforward question related to labor law.",,General-LLM
"Can I get my ""Severance Pay"" if my employer becomes bankrupt?",Reasoning-LLM,Reasoning-LLM,"The query involves a specific scenario where the employer becomes bankrupt, which requires analysis of the situation and potential legal risks related to severance pay.",,General-LLM
What documents do I need to bring to the Airport to prove I am an OFW for tax exemption?,General-LLM,General-LLM,"The query is asking for general information about required documents for tax exemption as an OFW, which is a straightforward question without a personal scenario or situation.",,General-LLM
My amo is asking me to cook for their office staff every Friday. Is this allowed?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal work situation and asks about the legitimacy of a specific task assigned by an employer, indicating a potential labor law issue.",,ERROR: Empty route returned
"How do I verify my ""OWWA Membership"" status using my phone?",General-LLM,General-LLM,"This query seeks general information about verifying OWWA membership status, which is a straightforward and factual question related to labor law.",,General-LLM
I'm being accused of theft by my boss but I didn't do it. Should I sign the confession paper?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a legal dispute and a potential legal risk, requiring reasoning and advice on what action to take.",,Reasoning-LLM
"What is the hotline for the ""Migrant Workers Office"" (MWO) in Hong Kong?",General-LLM,General-LLM,"The query is asking for general information about the hotline of the Migrant Workers Office in Hong Kong, which is a straightforward question without a personal situation or scenario.",,General-LLM
"It's March 2026. Is my $4,990 salary still legal if I signed my contract 2 years ago?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation, specifically a contract signed 2 years ago, and asks about the legality of the salary, indicating a potential legal issue or dispute.",,General-LLM
"Do I need to pay the PHP 1,620 travel tax at NAIA if I have a valid OEC?",General-LLM,General-LLM,"The query is asking for general legal information regarding travel tax exemption with a valid OEC, which is a simple Q&A related to OFW labor law.",,General-LLM
My OEC exemption was denied on the DMW app because I changed my employer. What now?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal scenario and asks for guidance on what action to take after an OEC exemption denial, indicating a need for reasoning and advice on a specific situation.",,General-LLM
"Is it true that Easter Monday (April 6, 2026) is now a mandatory paid holiday?",General-LLM,General-LLM,The query asks for general legal information regarding a holiday without involving a personal situation or scenario.,,General-LLM
I'm going home for a 2-week vacation. Do I need to get a new OEC if I'm returning to the same boss?,General-LLM,General-LLM,The query asks for general legal information regarding the requirement of a new OEC for returning to the same employer after a vacation.,,General-LLM
"My employer wants to ""buy"" my statutory holiday for $200. Should I agree to this?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and requires analysis of a potential contractual agreement, posing a legal risk or dispute for the OFW.",,Reasoning-LLM
How much is the minimum food allowance if my boss doesn't provide meals this 2026?,General-LLM,General-LLM,"The query asks for general legal information regarding minimum food allowance, which is a straightforward and definition-based question.",,General-LLM
"What is the ""468 Rule"" and does it give me more rights than the old 418 rule?",General-LLM,General-LLM,"The query asks for a general explanation and definition of a rule related to labor law, without involving a personal situation or scenario.",,Reasoning-LLM
I lost my boarding pass on my way back to HK. Will the Immigration let me in with just my visa?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and potential legal risk, as the individual is facing a problem with immigration due to a lost boarding pass.",,General-LLM
"My amo told me to work on April 5 (Ching Ming). Since it's a Sunday, when is my substitute holiday?",Reasoning-LLM,Reasoning-LLM,"The query involves a specific work situation and asks about a holiday entitlement, which requires applying labor law principles to a personal scenario.",,ERROR: Empty route returned
How do I book a flight home if my employer refuses to provide the ticket after 2 years?,Reasoning-LLM,Reasoning-LLM,The query involves a personal situation with a labor dispute and requires guidance on what action to take regarding a contractual obligation.,,Reasoning-LLM
What is the maximum weight for a Balikbayan box to be tax-free in the Philippines?,General-LLM,General-LLM,"This query is asking for general information about the maximum weight for a Balikbayan box to be tax-free in the Philippines, which is a straightforward question that does not involve a personal situation or legal risk.",,General-LLM
I have an old OEC from 3 months ago. Can I still use it for my flight tomorrow?,General-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the usability of an Overseas Employment Certificate (OEC) in a specific context, which requires analysis of labor law regulations.",,Reasoning-LLM
My passport was damaged by water. Can I still fly if the data page is readable?,Reasoning-LLM,General-LLM,The query is about general travel document information and does not involve a personal labor law situation or dispute.,,General-LLM
"How much is the ""Terminal Fee"" refund for OFWs at the Manila airport?",General-LLM,General-LLM,"The query asks for general legal information regarding the ""Terminal Fee"" refund for OFWs at the Manila airport, without presenting a personal situation or scenario.",,General-LLM
"My employer is asking me to pay for my own ""Contract Verification"" fee at the MWO.",Reasoning-LLM,Reasoning-LLM,"The query involves a specific situation where the user is being asked to take action, potentially involving a legal dispute or contract issue related to labor law.",,General-LLM
Can I get an OEC at the airport on the day of my flight if I forgot to do it online?,General-LLM,General-LLM,The query is asking for general information about obtaining an Overseas Employment Certificate (OEC) and does not involve a personal situation or legal risk.,,General-LLM
I missed my flight because of heavy traffic in Manila. Will my employer pay for the new ticket?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential dispute with the employer, requiring analysis of the employment contract and labor laws to determine the course of action.",,Reasoning-LLM
"What is the website for the ""DMW Online Services Portal"" for OEC registration?",General-LLM,General-LLM,"This query seeks general information about the website for DMW Online Services Portal, which is a straightforward question related to OFW services.",,General-LLM
"Pinipilit ako ng agency ko na mag-renew kahit ayaw ko na sa amo ko. May ""Cooling-off"" period ba?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about a specific legal concept, ""Cooling-off"" period, in the context of an employment contract dispute.",,Reasoning-LLM
How many days before my flight should I apply for an OEC exemption?,General-LLM,General-LLM,"This query seeks general information about the timeline for applying for an OEC exemption, which is a straightforward question related to labor law for OFWs.",,General-LLM
My visa sticker is peeling off my passport. Is it still valid for travel?,Reasoning-LLM,General-LLM,"This query involves general legal information regarding the validity of a visa for travel purposes, without including a personal situation or scenario that requires specific action or involves legal risk.",,General-LLM
"What is the penalty for employers who don't give the new $5,100 salary for 2026 contracts?",General-LLM,Reasoning-LLM,"The query involves a scenario of potential legal dispute regarding contract terms and employer obligations, which requires analysis of labor law and potential penalties.",,General-LLM
"I want to bring my 10-year-old son to HK for a visit. Do I need an ""Invitation Letter""?",Reasoning-LLM,Reasoning-LLM,"The query involves a specific scenario of an OFW wanting to bring their child to visit, which requires consideration of legal requirements and potential risks.",,General-LLM
"Can I use my ""Pag-IBIG Loyalty Card"" as an ID at the Philippine Consulate?",General-LLM,General-LLM,"The query asks for general information about using a specific card as an ID, which is a simple Q&A related to OFW services.",,General-LLM
My employer wants me to work in China for a week while they are on vacation. Is my HK visa enough?,Reasoning-LLM,Reasoning-LLM,"This query involves a personal situation and requires analysis of legal implications, specifically the applicability of a Hong Kong visa to working in China, which poses a potential legal risk.",,Reasoning-LLM
What is the current address of the Migrant Workers Office (MWO) in Admiralty?,General-LLM,General-LLM,"The query is asking for general information about the location of the Migrant Workers Office, which does not involve a personal situation or legal risk.",,General-LLM
"I'm being asked to sign a ""Waiver of Claims"" before I go on vacation. Should I sign it?",Reasoning-LLM,Reasoning-LLM,"The query involves a scenario where the person is being asked to sign a contract and is seeking advice on what action to take, which indicates a need for legal reasoning and analysis of potential risks.",,Reasoning-LLM
How much is the OWWA renewal fee in HK Dollars this March 2026?,General-LLM,General-LLM,"The query is asking for general information about the OWWA renewal fee, which is a straightforward question that does not involve a personal situation or legal risk.",,General-LLM
"My employer is deducting the cost of the ""E-visa"" from my salary. Is this allowed?",Reasoning-LLM,Reasoning-LLM,"The query involves a specific scenario and asks about the legality of an employer's action, which requires analysis of labor law and potential disputes.",,Reasoning-LLM
"Can I get a ""Balik-Manggagawa"" clearance if I'm already at the airport?",General-LLM,General-LLM,"The query is asking for general information about the process of obtaining a ""Balik-Manggagawa"" clearance, which is a type of certificate required for overseas Filipino workers.",,General-LLM
"My agency told me I can't fly because my ""Medical"" has expired. Is this true for returning workers?",Reasoning-LLM,General-LLM,"This query asks for general information about the rules for returning workers regarding medical expirations, without presenting a personal situation or scenario.",,Reasoning-LLM
"What is the ""Red Ribbon"" and why do I need it for my marriage certificate in HK?",General-LLM,General-LLM,"The query is asking for general information about a legal document related to marriage certification, which is a straightforward inquiry.",,General-LLM
I accidentally brought more than 2 reams of cigarettes to HK. What will happen at Customs?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal risk or dispute, specifically related to customs regulations and possible penalties for an OFW.",,Reasoning-LLM
How do I renew my Philippine Driver's License while I am working in Hong Kong?,General-LLM,Reasoning-LLM,"The query involves a specific situation of an OFW working in Hong Kong and asks for action to take regarding renewing a Philippine Driver's License, which poses a legal or administrative challenge.",,General-LLM
"My employer wants me to work on Good Friday (April 3, 2026). Is that a statutory holiday?",General-LLM,General-LLM,"The query is asking for general information about a statutory holiday, which is a basic question about labor law that does not involve a personal situation or legal risk.",,General-LLM
"What is the ""Electronic Travel Declaration"" (eTravel) form for the Philippines?",General-LLM,General-LLM,"The query asks for general information about a specific form related to travel, which is a general legal topic and does not involve a personal situation or scenario.",,General-LLM
My amo is only giving me 5 hours of sleep. How do I complain without getting fired?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks for action to take in response to a potential labor law issue, specifically regarding working hours and employer-employee relations.",,Reasoning-LLM
Can I apply for a SSS Calamity Loan if my province was declared under a state of calamity?,General-LLM,General-LLM,"This query is asking for general legal information about the requirements for applying for a SSS Calamity Loan, which is a type of benefit available to OFWs and other Filipino citizens.",,General-LLM
My passport will expire in exactly 6 months. Can I still travel back to HK?,Reasoning-LLM,General-LLM,"The query is about general travel information related to passport expiration, which falls under general legal information and does not involve a personal situation or legal dispute.",,Reasoning-LLM
"How can I verify if my ""Contract"" is already uploaded to the DMW system?",General-LLM,Reasoning-LLM,"The query involves a specific situation and asks for action to take regarding a contract, which is related to OFW labor law and may involve legal risk or disputes.",,General-LLM
"I'm being asked to pay a ""Processing Fee"" for my Pag-IBIG loan by a fixer.",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal risk, as it concerns a suspicious transaction related to a Pag-IBIG loan, which requires analysis and guidance on what action to take.",,Reasoning-LLM
"What is the ""Assistance to Nationals"" section hotline for emergencies?",General-LLM,General-LLM,"The query is asking for general information about a hotline for emergencies, which is a simple Q&A related to OFW services.",,General-LLM
My employer is moving to Discovery Bay and wants me to work there. Is there a different rule?,Reasoning-LLM,Reasoning-LLM,"The query involves a specific scenario and situation where the user is asking about potential changes in rules due to a change in work location, indicating a need for legal analysis and reasoning.",,Reasoning-LLM
How many statutory holidays are there in total for the year 2026 in HK?,General-LLM,General-LLM,"The query is asking for general information about statutory holidays in Hong Kong, which is related to labor law and does not involve a personal situation or scenario.",,General-LLM
"I want to send a ""Power of Attorney"" to the Philippines. Where do I get it notarized?",General-LLM,General-LLM,"The query is asking for general legal information on where to get a document notarized, which is a straightforward question without a personal scenario or situation.",,General-LLM
"My employer is threatening to ""Cancel my Visa"" if I don't work on my rest day.",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential labor dispute and legal risk, as the employer is making a threat related to the employee's visa and work schedule.",,Reasoning-LLM
"What is the ""OFW Pass"" and is it different from the traditional OEC?",General-LLM,General-LLM,"The query asks for general information and definitions about the ""OFW Pass"" and its relation to the traditional OEC, without presenting a personal situation or scenario.",,General-LLM
"Sabi ng amo ko, bawal daw ako gumamit ng aircon sa kwarto ko kahit sobrang init. Is this a ""suitable accommodation"" violation?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about a potential violation of labor law, specifically regarding suitable accommodation, which requires analysis and application of legal principles to a specific scenario.",,Reasoning-LLM
My employer wants me to sleep in the kitchen on a folding bed. Is this legal in Hong Kong?,General-LLM,Reasoning-LLM,"The query involves a specific situation and asks about the legality of an employer's request, which poses a potential labor law issue.",,Reasoning-LLM
Can I refuse to share a room with my employer's 15-year-old son?,General-LLM,Reasoning-LLM,"This query involves a specific scenario and asks for guidance on an action to take, which requires reasoning and consideration of potential legal implications.",,Reasoning-LLM
Pinipilit ako ng amo ko na mag-stay sa bahay nila kahit tapos na ang contract ko at may bago na akong amo.,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a labor dispute, as the OFW is being forced to stay with their current employer despite their contract having ended and having a new employer.",,Reasoning-LLM
"What is the ""Live-in Requirement"" for FDHs and can I stay with my friends on my rest day?",General-LLM,Reasoning-LLM,"The query involves a scenario where the FDH's living arrangement is in question, posing a potential legal issue related to their employment contract and labor law.",,General-LLM
I have a debt with a finance company. Can they legally take my passport as collateral?,Reasoning-LLM,Reasoning-LLM,"The query involves a scenario where the user has a debt and is asking about the legality of a specific action taken by the finance company, indicating a potential legal dispute.",,Reasoning-LLM
My amo found out I have a loan and is threatening to fire me. Is having a debt a valid reason for termination?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal dispute, as the user is facing a threat of termination due to a debt, which requires analysis of labor law and potential legal risks.",,Reasoning-LLM
"Magkano ang ""Food Allowance"" starting 2026 if my employer doesn't provide free meals?",General-LLM,General-LLM,"The query asks for general information about the amount of food allowance starting 2026, which is a straightforward question about labor law regulations.",,General-LLM
My employer installed a CCTV inside my private bedroom. What is the law on privacy?,Reasoning-LLM,Reasoning-LLM,"This query involves a personal situation and a potential legal dispute regarding privacy, which requires critical analysis and reasoning.",,Reasoning-LLM
Can I be deported if I cannot pay my bank loan in Hong Kong?,General-LLM,Reasoning-LLM,"The query involves a personal situation and potential legal risk, as it asks about the consequences of not paying a bank loan, which requires analysis of labor law and its implications for an OFW.",,Reasoning-LLM
"What are the requirements for ""Suitable Accommodation"" according to the Labour Department?",General-LLM,General-LLM,"The query asks for general information on the requirements for ""Suitable Accommodation"" according to the Labour Department, without involving a personal situation or scenario.",,General-LLM
"My agency told me to sign a loan for their ""training fee."" Is this a form of human trafficking?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal risk and dispute, as the user is questioning the legitimacy of a loan for a ""training fee"" that may be a form of exploitation.",,Reasoning-LLM
"Can my employer deduct $1,236 from my salary because they provide me with ""expensive food""?",General-LLM,Reasoning-LLM,"The query involves a specific situation where the employee is questioning a salary deduction, which requires analysis of labor laws and contractual obligations.",,Reasoning-LLM
"I am a ""guarantor"" for my friend's loan and she ran away. Do I really have to pay her debt?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a scenario of guaranteeing a loan and potential legal risk of paying the debt, requiring analysis and advice on the appropriate course of action.",,Reasoning-LLM
What is the maximum interest rate a licensed money lender can charge in HK as of 2026?,General-LLM,General-LLM,"The query seeks general legal information regarding the maximum interest rate a licensed money lender can charge in Hong Kong, which is a straightforward and definition-based question.",,General-LLM
My amo refuses to give me a key to the house. I have to wait for them to come home to enter. Is this allowed?,Reasoning-LLM,Reasoning-LLM,"This query involves a personal situation and a potential dispute with an employer, requiring analysis of the OFW's rights and possible actions to take.",,ERROR: Empty route returned
Is it legal for a debt collector to call my employer's office or home every day?,General-LLM,Reasoning-LLM,"The query involves a scenario where the user is being contacted by a debt collector and seeks guidance on the legality of the collector's actions, which poses a potential legal risk or dispute.",,Reasoning-LLM
"I sleep in a partitioned space in the living room. Does this count as ""reasonable privacy""?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks for an evaluation of a specific living condition, which requires analysis and application of labor law principles related to worker accommodations.",,General-LLM
Can my employer enter my room anytime they want without knocking?,Reasoning-LLM,Reasoning-LLM,"This query involves a scenario where the OFW's right to privacy may be at risk, requiring analysis of their employer's actions and potential legal implications.",,General-LLM
"How do I file a complaint if my employer is not providing ""free access to water and toilet""?",General-LLM,Reasoning-LLM,"The query involves a specific scenario of an employer not providing basic amenities, which is a labor law issue that requires guidance on taking action to resolve the dispute.",,Reasoning-LLM
"My employer wants me to pay for the repair of the washing machine because I used it ""too much.""",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a dispute with the employer, requiring analysis of the employee's rights and potential legal actions.",,Reasoning-LLM
"What happens if I get caught ""living out"" (not staying in my employer's house)?",General-LLM,Reasoning-LLM,"The query involves a scenario and potential legal risk, as it asks about the consequences of a specific action related to an OFW's living arrangement.",,Reasoning-LLM
"I am being harassed by ""loan sharks"" (illegal lenders). Should I go to the police or the Consulate?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a legal risk, specifically being harassed by illegal lenders, and seeks advice on the course of action to take.",,Reasoning-LLM
Is the employer required to provide a cabinet with a lock for my personal belongings?,General-LLM,General-LLM,"This query seeks general legal information regarding employer responsibilities and employee rights, without referencing a specific personal situation or dispute.",,General-LLM
My amo told me I can only eat bread and noodles. Can I demand better food or a food allowance?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks what action to take regarding a potential dispute over food provision, which is related to labor law and OFW rights.",,Reasoning-LLM
Can a finance company sue me in the Philippines for a debt I made in Hong Kong?,General-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal dispute and risk, as it asks about the possibility of being sued in the Philippines for a debt incurred in Hong Kong.",,Reasoning-LLM
I found a hidden camera in the bathroom. What is the first thing I should do?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with potential legal implications, such as invasion of privacy, and asks for a course of action to take.",,Reasoning-LLM
"What is the ""36% and 48% interest rate"" rule under the Money Lenders Ordinance?",General-LLM,General-LLM,"The query asks for a general explanation of a specific rule under the Money Lenders Ordinance, which is a general legal information inquiry.",,Reasoning-LLM
"My employer says I have to pay for the ""Wifi"" if I want to use it. Is this a legal deduction?",Reasoning-LLM,Reasoning-LLM,"The query involves a scenario or situation where the OFW is questioning the legality of a specific deduction, which requires analysis of labor laws and contracts.",,Reasoning-LLM
"Does ""Free Medical Treatment"" include vitamins and supplements if I feel weak?",General-LLM,General-LLM,"The query seeks a general explanation of what ""Free Medical Treatment"" typically covers, without referencing a personal situation or specific labor law context.",,General-LLM
I was fired because I got pregnant. My amo says they don't have space for a baby. What are my rights?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a dispute with an employer, requiring analysis of labor law and potential legal action to determine the OFW's rights.",,Reasoning-LLM
"How much is the ""Minimum Household Income"" required for an employer to hire a helper in 2026?",General-LLM,General-LLM,"The query is asking for general information about a specific requirement related to hiring a helper, which falls under general legal information.",,General-LLM
"My agency is asking for my HKID to ""process my insurance."" Should I let them keep it?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal risk, as the OFW is being asked to provide sensitive information and is questioning the agency's request.",,Reasoning-LLM
Can I get a loan from a bank like HSBC if I am a Domestic Helper?,General-LLM,Reasoning-LLM,"The query involves a specific situation of a Domestic Helper trying to get a loan from a bank, which requires consideration of their employment status and its implications on their eligibility for a loan.",,General-LLM
I share a room with another helper. Does she have the right to look through my things?,Reasoning-LLM,Reasoning-LLM,"The query involves a specific situation and asks about rights in a shared living space, which requires reasoning and consideration of potential legal implications.",,Reasoning-LLM
"Is it mandatory for an employer to provide a ""proper bed"" (not just a mat on the floor)?",General-LLM,General-LLM,"The query asks for general legal information regarding employer obligations, specifically about providing a proper bed, without referencing a personal situation.",,Reasoning-LLM
My employer is asking me to sleep in their second house in the New Territories. Is this allowed?,Reasoning-LLM,Reasoning-LLM,"The query involves a specific scenario and asks about the legality of an employer's request, indicating a potential labor law issue.",,Reasoning-LLM
"What is the ""Credit Reference Agency"" and how does it affect my future loans?",General-LLM,General-LLM,"The query asks for a general definition and explanation of a ""Credit Reference Agency"" without referencing a personal situation or labor law context.",,General-LLM
My amo is using my name to apply for a loan for themselves. Is this a scam?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal risk, as the user's name is being used for a loan application without their consent.",,Reasoning-LLM
"Can I file for ""Bankruptcy"" in Hong Kong if my debt is over $100,000?",General-LLM,Reasoning-LLM,"The query involves a specific scenario and potential legal action, which requires analysis of the individual's situation and applicable laws.",,General-LLM
"I am being forced to work for 18 hours straight without a break. Is there a ""Maximum Work Hour"" law?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about a specific law in the context of a labor dispute, indicating a need for reasoning and analysis of legal concepts.",,General-LLM
What should I do if my employer moves to a flat that has no space for me to sleep?,Reasoning-LLM,Reasoning-LLM,"The query involves a scenario where the OFW is facing a potential labor dispute or issue with their living arrangements, requiring guidance on what action to take.",,Reasoning-LLM
"Is the employer required to provide me with a uniform, or can I wear my own clothes?",General-LLM,General-LLM,"This query asks for general legal information regarding employer requirements and employee attire, without referencing a specific personal situation or scenario.",,Reasoning-LLM
"My friend asked me to ""pawn"" my jewelry for her. Now she won't give it back.",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential dispute and legal risk, requiring analysis and advice on what action to take to retrieve the pawned jewelry.",,Reasoning-LLM
"Can I open a ""Shared Account"" with my employer for household expenses?",General-LLM,Reasoning-LLM,"This query involves a scenario and asks about a specific action to take regarding a potential contractual arrangement with an employer, which poses a legal consideration.",,Reasoning-LLM
My employer is on vacation and locked the kitchen. I have no access to food. What do I do?,Reasoning-LLM,Reasoning-LLM,The query involves a scenario or situation where the user is asking for guidance on what action to take in a specific labor-related circumstance.,,Casual-LLM
"What is the ""Small Claims Tribunal"" for when it comes to money disputes with friends?",General-LLM,General-LLM,"The query seeks general information about the Small Claims Tribunal, a legal concept, without involving a personal situation or specific labor law context.",,General-LLM
I suspect my employer is using my personal data to buy things online. How can I check?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal issue related to data protection and employer responsibility, requiring more in-depth analysis and advice on what action to take.",,Reasoning-LLM
"Can I go to a ""Debt Counseling"" center for free in Hong Kong?",General-LLM,General-LLM,"The query is asking for general information about accessing a debt counseling service in Hong Kong, which is related to a common issue OFWs may face.",,General-LLM
Nasampal ako ng amo ko dahil nakalimutan ko i-off ang stove. Pwede ko ba siyang kasuhan kahit walang sugat?,Reasoning-LLM,Reasoning-LLM,"The query describes a personal situation involving a labor dispute and potential legal action, requiring analysis of legal risks and possible courses of action.",,Reasoning-LLM
My employer's ward has a mental condition and keeps hitting me. Is the employer still liable?,Reasoning-LLM,Reasoning-LLM,"The query involves a specific workplace scenario and asks about the employer's liability, indicating a need for legal reasoning and analysis of a potentially disputable situation.",,Reasoning-LLM
What is the maximum penalty for an employer who physically assaults a domestic helper in HK?,General-LLM,General-LLM,"The query is asking for general legal information about the maximum penalty for a specific offense, without involving a personal situation or scenario.",,General-LLM
Pinagbibintangan ako ng amo ko na nagnakaw ng alahas. What should I do if the police arrive?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal dispute and asks for advice on what action to take, indicating a need for reasoning and analysis.",,Reasoning-LLM
"I was one of the OFWs affected by the Wang Fuk Court fire. How do I claim the $20,000 subsidy?",General-LLM,Reasoning-LLM,"The query involves a personal situation and asks for guidance on a specific course of action to claim a subsidy, which indicates a need for reasoning and application of labor law.",,General-LLM
My employer's son is making inappropriate sexual jokes and touching my waist. Is this sexual harassment?,Reasoning-LLM,Reasoning-LLM,"The query describes a personal situation involving a scenario of potential sexual harassment at work, which requires analysis and guidance on how to address the issue.",,Reasoning-LLM
Can I be jailed if I am caught working part-time in a restaurant during my rest day?,General-LLM,Reasoning-LLM,"The query involves a scenario of working part-time during a rest day, which poses a potential legal risk and dispute for an OFW.",,Reasoning-LLM
"My amo took my passport and HKID and locked them in a safe. Is this ""Illegal Detention of Documents""?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal issue of document detention, which requires analysis of a specific scenario to determine the appropriate course of action.",,Reasoning-LLM
"What is the contact number of the HK Police ""Emergency Hotline"" for domestic violence?",General-LLM,General-LLM,"The query is asking for general information about a specific hotline, which is a straightforward and factual question related to legal resources.",,General-LLM
I am being forced to work 19 hours a day with only 4 hours of sleep. Is this considered forced labor?,Reasoning-LLM,Reasoning-LLM,"The query describes a personal workplace situation and asks for an evaluation of whether it constitutes forced labor, indicating a need for reasoning and analysis of a specific scenario.",,Reasoning-LLM
Can an employer be blacklisted from hiring helpers if they are convicted of physical abuse?,General-LLM,General-LLM,"The query asks for general legal information about the consequences of an employer's actions, without referencing a specific personal situation.",,Reasoning-LLM
My agency is asking me to lie to Immigration about my actual salary. What happens if I get caught?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a scenario of potential legal risk and dishonesty, requiring analysis of the consequences of the action.",,Reasoning-LLM
"Is it true that the fine for hiring an illegal worker has been increased to $500,000 this year?",General-LLM,General-LLM,The query seeks general information about a specific labor law penalty without referencing a personal situation or scenario.,,Reasoning-LLM
I found a hidden camera in my bedroom. Can I use my phone to record it as evidence for the police?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with potential legal implications, such as gathering evidence and dealing with a possible crime, which requires reasoning and analysis of the legal context.",,Reasoning-LLM
"What is the ""Operation Swordfish"" by the Immigration Department and how does it affect OFWs?",General-LLM,General-LLM,"The query seeks general information about a specific operation by the Immigration Department and its impact on OFWs, without involving a personal situation or scenario.",,Reasoning-LLM
"My employer is threatening to ""kill me"" if I report them to the Labor Department. What's my safety plan?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a threat, requiring analysis of legal risks and potential actions to take for the OFW's safety.",,Reasoning-LLM
Can I still get my backwages and air ticket if I am the one who terminated the contract due to abuse?,Reasoning-LLM,Reasoning-LLM,"This query involves a personal situation with a scenario of contract termination due to abuse, and asks about the consequences of that action in terms of backwages and air ticket.",,Reasoning-LLM
"What is the definition of ""Indecent Assault"" under the Crimes Ordinance of Hong Kong?",General-LLM,General-LLM,"The query asks for a definition of a legal term, which falls under general legal information and does not involve a personal situation or a specific scenario.",,General-LLM
I saw my employer hitting their own child. Should I report this to the Social Welfare Department?,Reasoning-LLM,Reasoning-LLM,"This query involves a scenario and asks what action to take, which requires applying legal knowledge to a specific situation and considering potential consequences.",,Reasoning-LLM
"How do I file a ""Common Law Claim"" for damages after a serious workplace injury?",General-LLM,Reasoning-LLM,"The query involves a scenario of a workplace injury and asks for action to take, which indicates a need for reasoning and analysis of a specific situation related to labor law.",,General-LLM
"My friend was arrested for ""Money Laundering"" because she let someone use her bank account. How can I help?",Reasoning-LLM,Reasoning-LLM,The query involves a personal situation with a potential legal dispute and asks for advice on what action to take to help the friend.,,Reasoning-LLM
