Query,Expected,Groq Expected,Predicted_Gemini,Predicted_Qwen
Magkano ang "Special Subsidy" for OFWs affected by the Wang Fuk Court fire in Tai Po?,General-LLM,General-LLM,General-LLM,General-LLM
My employer's ward has a "mental health condition" and hit me. Am I still allowed to file a case?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is "Operation Swordfish" and why is the HK Immigration raiding industrial buildings?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
I am a "Non-refoulement claimant" (recognizance). Can I legally work as a helper in 2026?,General-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
My employer told me to help their friend's business during the Lunar New Year surge. Is this a trap?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"If I am a victim of a viral abuse incident, will the DMW (Department of Migrant Workers) provide a lawyer?",General-LLM,Reasoning-LLM,General-LLM,General-LLM
What is the new penalty for employers who hire illegal workers as of February 2026?,General-LLM,General-LLM,General-LLM,General-LLM
"I lost all my belongings in the Wang Fuk Court fire. How do I apply for the $20,000 grant?",Reasoning-LLM,General-LLM,General-LLM,General-LLM
Can the police arrest me if they see me selling "Lumpia" or "Longganisa" in Central on a Sunday?,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
What is "Section 38AA" of the Immigration Ordinance and why are people getting 22 months in jail?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My employer's ward is aggressive. Can I demand to be transferred to a shelter for my safety?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
Does the "468 Rule" (Continuous Contract) apply to me if I've only worked for 3 weeks?,General-LLM,General-LLM,General-LLM,General-LLM
I am being "red-tagged" or harassed by my agency for joining a protest in Wan Chai. Is this legal?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
"What is the current ""Food Allowance"" for contracts signed after September 30, 2025?",General-LLM,General-LLM,General-LLM,General-LLM
My boss is a "Company Director." Can he be personally liable if he doesn't pay my salary?,General-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
"Is Easter Monday (April 6, 2026) a paid holiday even if it's my first year in HK?",General-LLM,General-LLM,General-LLM,General-LLM
I saw an FDH cleaning a window on the 15th floor with no grills. How do I report this safely?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What happens if my "Statutory Holiday" falls on the same day as "Easter Monday"?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My employer wants me to work on April 7 because they gave me April 5 and 6 off. Is that fair?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
How do I check if my agency has a valid license from the HK Labour Department?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
I was arrested during a "March 2025 raid" but my case is only now in 2026. Why is it so slow?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Assistance-to-Nationals" (ATN) team's role in physical abuse cases?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
Can my employer fire me if I refuse to work in their warehouse/industrial office?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Smart Renewal" service for OFW visas in 2026?,General-LLM,General-LLM,General-LLM,General-LLM
I have a "General Demand Note" (GDN) for my visa. Can I pay it at a 7-Eleven?,General-LLM,General-LLM,General-LLM,General-LLM
My employer refuses to pay the "Verification Fee" of HKD 222. Is this my responsibility?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
Can I be deported if I am a victim of "Human Trafficking" (TIP)?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What are the "TIP indicators" that HK Immigration uses to identify victims?,General-LLM,General-LLM,General-LLM,General-LLM
I was offered a "Waitress" job in a logistics building. Is this a "Swordfish" target?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
My employer told me to "ignore the viral videos" and keep working 16 hours. How do I resist?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
Can the Consulate help me if I am stranded in HK because of Middle East flight cancellations?,General-LLM,General-LLM,General-LLM,ERROR: Empty route returned
Is it true that the high court now requires "immediate custodial sentences" for bad employers?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
"My roommate is using a ""Forged Identity Card."" If the police raid our room, will I be arrested too?",Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the "One Country Team" approach for OFW repatriation in 2026?,General-LLM,General-LLM,General-LLM,General-LLM
I want to claim "Long Service Payment" but my employer says they are bankrupt due to the 2026 economy.,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
How many days of "Prior Notice" must an employer give for an "Alternative Holiday"?,General-LLM,General-LLM,General-LLM,General-LLM
Can I use "AlipayHK" to pay for my E-visa fee?,General-LLM,General-LLM,General-LLM,General-LLM
My employer's ward has mental health issues and is hurting me. Should I file a police report?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "1348 Hotline" and can I call it using WhatsApp from Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
I am a "Balik-Manggagawa." Do I still pay the HKD 80 verification fee?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is monitoring my "Social Media" (TikTok/FB). Is this a breach of the contract?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What happens if I miss the "60-day" deadline for an alternative holiday?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
Can I get a "Replacement Holiday" if a typhoon signal 8 falls on my rest day?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
My employer wants to "buy out" my 15th statutory holiday. What is the fine for them?,General-LLM,General-LLM,Reasoning-LLM,ERROR: Empty route returned
What is the "E-Link" portal and how does it help with my SSS/Pag-IBIG?,General-LLM,General-LLM,General-LLM,General-LLM
I suspect my employer is a "Shadow Employer" (using another person's name). How do I check?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the address of the "Sha Tin Magistrates' Court" where illegal workers are sentenced?,General-LLM,General-LLM,General-LLM,General-LLM
Can the DMW provide "Medical Observation" and a shelter if I am too scared to go back to my boss?,General-LLM,General-LLM,Reasoning-LLM,General-LLM
Does the "MPF Offsetting Abolition" mean my boss can no longer take from my MPF to pay my Long Service?,General-LLM,General-LLM,General-LLM,General-LLM
"If I've worked for 10 years, how is my Long Service Payment calculated after the May 2025 law change?",Reasoning-LLM,General-LLM,General-LLM,General-LLM
Is it true that the portion of my Long Service earned before May 2025 can still be "offset" by MPF?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My employer says they won't pay Long Service because of the new law. Is this a misunderstanding?,Reasoning-LLM,General-LLM,Reasoning-LLM,General-LLM
What happens to my MPF contributions if I decide to leave Hong Kong for good this 2026?,General-LLM,General-LLM,General-LLM,General-LLM
"If a conflict breaks out in the West Philippine Sea, what is the Philippine Consulate's protocol for OFWs?",Reasoning-LLM,General-LLM,General-LLM,General-LLM
Are there "Repatriation Flights" planned by the DMW if regional tensions escalate into a war?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My employer is asking me to sign a new "window cleaning" annex. Is this because of a new safety law?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I refuse to clean windows if they don't have the locked grilles required by the 2017/2025 updates?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the 2026 penalty for an employer who forces a helper to work in their shop or office?,General-LLM,General-LLM,General-LLM,General-LLM
Will my HKID still be valid if Hong Kong enters a "State of Emergency"?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
"Is Easter Monday (April 6, 2026) a holiday for everyone, or only those who have worked for 3 months?",General-LLM,General-LLM,General-LLM,General-LLM
"If my rest day is Sunday and Ching Ming is Sunday, when exactly are my 3 days of holiday in April 2026?",Reasoning-LLM,General-LLM,General-LLM,General-LLM
"My employer wants to pay me $5,000 because ""the economy is bad."" Is this below the 2026 MAW?",General-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What are the "Extreme Weather" guidelines for 2026 if a T10 typhoon hits during my work hours?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
Can my employer be jailed for 10 years now if they hire an illegal part-time cleaner?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
I heard the "Swordfish" operation is targeting boarding houses. Is my weekend boarding house safe?,Reasoning-LLM,General-LLM,Reasoning-LLM,General-LLM
What is the "Digital OFW Pass" and is it mandatory for all returning workers now?,General-LLM,General-LLM,General-LLM,General-LLM
My employer wants to install a tracker on my phone for "safety during war." Is this allowed?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
Is it true that the "Statutory Minimum Wage" for local workers increased to $42.10? Does it affect me?,General-LLM,General-LLM,General-LLM,General-LLM
Why is the "First Weekday after Christmas" a holiday in 2026 but wasn't before 2024?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
Can the Philippine government "freeze" my SSS or Pag-IBIG funds during a national emergency?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
What is the "Assistance to Nationals" (ATN) 24/7 hotline for 2026?,General-LLM,General-LLM,General-LLM,General-LLM
I am being "red-tagged" online by my agency for my political posts. What is my protection?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
Can I get a "Special Entry Permit" for my sister to visit me if she is also an OFW elsewhere?,General-LLM,General-LLM,General-LLM,General-LLM
"My employer refuses to give me the $5,100 salary even though my contract started in Jan 2026.",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "1% Remittance Fee" rumor in 2026? Is there a new tax on money sent home?,General-LLM,General-LLM,General-LLM,General-LLM
I lost my passport and the Consulate is fully booked. Can I get a "Travel Document" to go home?,Reasoning-LLM,General-LLM,Reasoning-LLM,General-LLM
Is it illegal for an agency to charge a "Documentation Fee" of more than 10% of my first month's salary?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My boss is moving to a "Hidden Bunker" or safe house and wants me to go. Is this a contract violation?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Code of Practice" for employers regarding helper safety during Black Rainstorms?,General-LLM,General-LLM,General-LLM,General-LLM
Can I claim "Unemployment Benefit" in HK if I am terminated due to the employer's bankruptcy?,General-LLM,General-LLM,General-LLM,General-LLM
How do I verify my "OEC Exemption" if the DMW app is down during a crisis?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
Is "Cyber-harassment" by a landlord grounds for breaking a boarding house agreement?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Migrant Workers Office" (MWO) and how is it different from the old POLO?,General-LLM,General-LLM,General-LLM,General-LLM
"Can my employer deduct the cost of my ""Mandatory Medical Check-up"" from my $5,100 salary?",General-LLM,General-LLM,General-LLM,Reasoning-LLM
I suspect my employer is a "Shadow Employer" (not the one on the contract). Who do I tell?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "14-day rule" and has it been extended for 2026?,General-LLM,General-LLM,General-LLM,General-LLM
Can I file a "Sexual Harassment" claim at the EOC (Equal Opportunities Commission)?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My employer says I have to "pay back" my airfare if I resign before 1 year. Is this legal?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
How do I update my "Emergency Contact" on the HK Immigration website?,General-LLM,General-LLM,General-LLM,General-LLM
"Is it true that the ""Death Benefit"" for OFWs was increased to 200,000 Pesos in 2026?",General-LLM,General-LLM,General-LLM,General-LLM
Can I be arrested for "Misprision of Felony" if I don't report my employer's illegal business?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What are the "Apostille" requirements for Philippine documents in HK for 2026?,General-LLM,General-LLM,General-LLM,General-LLM
My agency is forcing me to take a loan from a specific finance company. Is this "Debt Bondage"?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I use my "Octopus Card" to pay for government fees at the Immigration Department?,General-LLM,General-LLM,General-LLM,General-LLM
What should I do if my "E-visa" QR code won't scan at the airport?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
What is the address of the "Labour Tribunal" for cases in the New Territories?,General-LLM,General-LLM,General-LLM,General-LLM
Can my employer terminate me for "Poor Performance" without a warning letter?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
Is there a "Maximum Work Hour" limit for helpers in the 2026 Employment Ordinance?,General-LLM,General-LLM,General-LLM,General-LLM
How many days of "Paid Annual Leave" do I get after 5 years of service?,General-LLM,General-LLM,General-LLM,General-LLM
Can I get a "Termination Pay" if my employer moves to another country?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Small Claims Tribunal" limit for 2026?,General-LLM,General-LLM,General-LLM,General-LLM
My boss is filming the living room where I sleep. Is this a privacy breach?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
Can I bring "Pork Products" from PH to HK during the current health alerts?,General-LLM,General-LLM,General-LLM,General-LLM
What is the "OWWA Education Grant" (EDSP) for children of OFWs?,General-LLM,General-LLM,General-LLM,General-LLM
My employer wants me to work on "Good Friday." Is it a statutory holiday yet?,General-LLM,General-LLM,General-LLM,General-LLM
Can I file for "Legal Aid" for a labor case against a wealthy employer?,Reasoning-LLM,Reasoning-LLM,General-LLM,General-LLM
How do I report a "Scam Remittance App" that stole my money?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Employees' Compensation" for a permanent disability?,General-LLM,General-LLM,General-LLM,General-LLM
Can my employer "Transfer" me to their cousin's house for one week?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Home Leave" requirement after two contracts?,General-LLM,General-LLM,General-LLM,General-LLM
Can I get my "Passport back" if I want to go to the bank?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
What is the "Consular Mobile Outreach" schedule for Yuen Long?,General-LLM,General-LLM,General-LLM,General-LLM
My boss says I can't talk to my family on Sundays. Is this "Illegal Restraint"?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
Is it true that "Mental Health Insurance" is now mandatory for employers?,General-LLM,General-LLM,General-LLM,General-LLM
How do I check if my "Contract is Verified" online?,General-LLM,General-LLM,General-LLM,General-LLM
Can I be "deported" for having a debt with a bank?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Minimum Household Income" to hire two helpers in 2026?,General-LLM,General-LLM,General-LLM,General-LLM
My agency is "blacklisting" me from other jobs. Is this legal?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the "24-hour Hotline" for the Hong Kong Labour Department?,General-LLM,General-LLM,General-LLM,General-LLM
Can I get a "Refund" for my OEC if my flight was cancelled?,Reasoning-LLM,General-LLM,Reasoning-LLM,General-LLM
What is the "DMW" address in the Philippines for complaints?,General-LLM,General-LLM,General-LLM,General-LLM
Can I get "Sick Pay" if I have a medical certificate from a private clinic?,General-LLM,General-LLM,General-LLM,General-LLM
My boss is forcing me to "work in their restaurant" for the weekend.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
What is the "One-Month Notice" pay calculation?,General-LLM,General-LLM,General-LLM,General-LLM
Can I be jailed for "overstaying" for just 1 day?,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
What is the "Re-entry Permit" for Chinese nationals working in HK?,General-LLM,General-LLM,General-LLM,General-LLM
How do I file a "Claim for Wages" after I already left HK?,Reasoning-LLM,General-LLM,Reasoning-LLM,General-LLM
Can my employer "delete" my photos on my personal phone?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Apostille" fee at the High Court in 2026?,General-LLM,General-LLM,General-LLM,General-LLM
How do I join the "SSS Flexi-fund" for OFWs?,General-LLM,General-LLM,General-LLM,General-LLM
My employer says I have to "work during Typhoon Signal 8.",Reasoning-LLM,General-LLM,Reasoning-LLM,General-LLM
What is the "Minimum Food Allowance" for 2026?,General-LLM,General-LLM,General-LLM,General-LLM
Can I get a "Termination Letter" if I am the one resigning?,Reasoning-LLM,General-LLM,General-LLM,Reasoning-LLM
Magkano lang ba ang puwedeng singil ng agency sa akin dito sa Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
"Malaki ang singil ng agency sa akin, tapos napilitan pa akong umutang para mabayaran sila. Pwede ba sila i-report sa HongKong at sa Pilipinas?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Na-redundant daw ako after 2 years at hindi na i-renew ang contract. May severance pay ba ako?,General-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
"May medical certificate ako at naka-paid sick leave, pero bigla akong sinibak. Pwede ba iyon?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Lesbian ako, pinagbubully ng ibang Pinay helper sa Sunday gathering. Pwede ba i-report sa MWO?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Nahuli ako sa beauty service side gig. Ano exact penalty under new 2026 raids?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
"I am planning to renew my Contract, How do I do that?",Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
I sent a remittance through a banking app and it's been 3 days but my family hasn't received it. Are there laws that could give me refund? preferrably directly sent to my family?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Do I use my HKID or my OWWA OFW ID to open a bank account in BOC (Bank of China) or HSBC? ,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
My agency charged me excessive placement fees. Can I report this and how?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
My employer verbally abuses me and threatens termination if I complain. What actions can I take?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
I signed a contract but my employer changed the salary after I arrived. What can I do?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer is forcing me to work in another house that is not in my contract. Is this legal and what should I do?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
I was terminated without notice and not paid my salary. What are my options?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer has not given me a rest day for 3 weeks. What should I do,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer has not paid my salary for two months and keeps delaying. What should I do?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
I was terminated immediately without notice after asking for a rest day. Is this legal and what are my options?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"My employer is asking me to work in their relative?? house, which is not in my contract. What action can I take?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
I want to break my contract early because of poor treatment. What are the consequences and what should I do?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer confiscated my passport and refuses to return it. What should I do?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
I am being verbally abused daily by my employer. Should I report this and where?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My agency charged me more than the legal placement fee. Can I recover the money and how?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"I was promised a certain salary, but on my paycheck, my employer paid less. What steps can I take?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer does not allow me to leave the house even on my rest day. Is this legal and what should I do?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"I got injured while working, but my employer refuses to pay for medical treatment. What are my rights?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
"My employer is forcing me to sleep in unsafe conditions (e.g., kitchen floor). What can I do about this?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"I resigned properly, but my employer refuses to give my final pay. What actions can I take?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer accused me of theft without evidence and threatened to report me. What should I do?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
I am being asked to work excessive hours with no rest. How can I address this situation legally?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,
